순위,title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4,가격_포맷,쇼핑몰
1,[헬베이프] 젤로 맥스 에디션 전자담배 액상형 입호흡 CSV 전담 팟 디바이스 JELLO,https://smartstore.naver.com/main/products/10543618814,https://shopping-phinf.pstatic.net/main_8808812/88088124297.jpg,65000,,전자담배팩토리,88088124297,2,JELLO,,생활/건강,건강관리용품,전자담배,,"65,000원",전자담배팩토리
2,말론 입호흡 전자담배 액상 기기 CSV 액상형 전담 기계 킷 MALONE,https://smartstore.naver.com/main/products/11359324744,https://shopping-phinf.pstatic.net/main_8890383/88903835095.2.jpg,72000,,Malone.,88903835095,2,마를론,,생활/건강,건강관리용품,전자담배,,"72,000원",Malone.
3,유웰 발라리안 맥스프로 팟 입호흡 전자담배 액상 기계 액상형 csv 전담 기기 킷 용트림,https://smartstore.naver.com/main/products/11267034351,https://shopping-phinf.pstatic.net/main_8881154/88811544682.jpg,78000,,용트림,88811544682,2,,,생활/건강,건강관리용품,전자담배,,"78,000원",용트림
4,아스몬 오리지널 에디션 입호흡 전자담배 기기 액상 전담 기계 액상형 CSV ASMON,https://smartstore.naver.com/main/products/7428544716,https://shopping-phinf.pstatic.net/main_8497304/84973045038.5.jpg,55000,,몬스터즈 팩토리,84973045038,2,아스몬,,생활/건강,건강관리용품,전자담배,,"55,000원",몬스터즈 팩토리
5,저스트포그 글렌트 킷 입호흡 액상 GLENT 전자담배 전담 기계 기기 팟 파드 액상 CSV,https://smartstore.naver.com/main/products/10362329582,https://shopping-phinf.pstatic.net/main_8790683/87906834243.3.jpg,49000,,저스트포그공식몰,87906834243,2,저스트포그,,생활/건강,건강관리용품,전자담배,,"49,000원",저스트포그공식몰
6,유웰 발라리안 에어 베이직 세트 입호흡 전자담배 기기 액상 전담 기계 액상형 CSV 킷,https://smartstore.naver.com/main/products/10269273775,https://shopping-phinf.pstatic.net/main_8781377/87813777577.9.jpg,55000,,용트림,87813777577,2,,,생활/건강,건강관리용품,전자담배,,"55,000원",용트림
7,부푸 브이메이트 맥스 전자담배 액상형 입호흡 전담 기기 기계 브이쓰루 프로 팟 호환,https://smartstore.naver.com/main/products/10635170652,https://shopping-phinf.pstatic.net/main_8817967/88179676462.1.jpg,55000,,프로키베이프,88179676462,2,부푸,,생활/건강,건강관리용품,전자담배,,"55,000원",프로키베이프
8,유웰 하복 SE 알로에베라 입호흡 전자담배 액상 csv 기계 전담 기기 액상형 킷 하보크,https://smartstore.naver.com/main/products/9165959184,https://shopping-phinf.pstatic.net/main_8671045/86710459507.5.jpg,75000,,용트림,86710459507,2,유웰,,생활/건강,건강관리용품,전자담배,,"75,000원",용트림
9,헬베이프 젤로 맥스 블랙 입호흡 csv 액상 전자담배 킷 입문 전담 기계 액상형 팟 기기,https://smartstore.naver.com/main/products/9918494745,https://shopping-phinf.pstatic.net/main_8746299/87462997018.1.jpg,65000,,디어베이프,87462997018,2,JELLO,,생활/건강,건강관리용품,전자담배,,"65,000원",디어베이프
10,쥬스박스 일회용 전자담배 쥬스틱 울트라 플러스 자몽 BIG 대용량 편의점 전담 무니코틴,https://smartstore.naver.com/main/products/9353826746,https://shopping-phinf.pstatic.net/main_8689832/86898327069.jpg,19000,,쥬스박스,86898327069,2,쥬스틱,,생활/건강,건강관리용품,전자담배,,"19,000원",쥬스박스
11,헬베이프 젤로 블러드 샷 입호흡 csv 액상 전자담배 킷 전담 입문 기계 액상형 기기,https://smartstore.naver.com/main/products/7682211927,https://shopping-phinf.pstatic.net/main_8522671/85226712249.2.jpg,53000,,디어베이프,85226712249,2,JELLO,,생활/건강,건강관리용품,전자담배,,"53,000원",디어베이프
12,디오X 입호흡 전자담배 기기 액상 DIO X 전담 기계 킷 액상형 CSV 디오엑스,https://smartstore.naver.com/main/products/11001883367,https://shopping-phinf.pstatic.net/main_8854638/88546389463.2.jpg,59000,,디오베이프 코리아,88546389463,2,,,생활/건강,건강관리용품,전자담배,,"59,000원",디오베이프 코리아
13,유웰 발라리안 DV 에디션 입호흡 전자담배 기기 액상 전담 기계 액상형 CSV 발라 팟 킷,https://smartstore.naver.com/main/products/5654117153,https://shopping-phinf.pstatic.net/main_8319861/83198614459.19.jpg,45000,,용트림,83198614459,2,,,생활/건강,건강관리용품,전자담배,,"45,000원",용트림
14,유웰 발라리안 R 입호흡 전자담배 기기 액상 전담 기계 액상형 CSV VALYRIAN R,https://smartstore.naver.com/main/products/9348331112,https://shopping-phinf.pstatic.net/main_8689283/86892831435.4.jpg,53000,,용트림,86892831435,2,,,생활/건강,건강관리용품,전자담배,,"53,000원",용트림
15,아보카도 베이비 그린 액상형 전자담배 기기 킷 입호흡 전담 기계,https://smartstore.naver.com/main/products/11395866460,https://shopping-phinf.pstatic.net/main_8894037/88940376825.jpg,50000,,더 클라우드 팩토리,88940376825,2,아보카도,,생활/건강,건강관리용품,전자담배,,"50,000원",더 클라우드 팩토리
16,[하카 시그니처]냄새 걱정 없는 액상 전자담배 기계 CSV 일회용 팟 기기,https://smartstore.naver.com/main/products/8084565816,https://shopping-phinf.pstatic.net/main_8562906/85629066139.7.jpg,39000,,하카코리아 공식온라인스토어,85629066139,2,하카,,생활/건강,건강관리용품,전자담배,,"39,000원",하카코리아 공식온라인스토어
17,닷모드 닷투엑스 파티 블랙 입호흡 액상 전자담배 기계 전담 기기 액상형 팟디바이스,https://smartstore.naver.com/main/products/10332556558,https://shopping-phinf.pstatic.net/main_8787706/87877060768.7.jpg,75000,,싸구전자담배,87877060768,2,닷모드,,생활/건강,건강관리용품,전자담배,,"75,000원",싸구전자담배
18,[헬베이프] 젤로 킷 전자담배 액상형 입호흡 CSV 전담 기기 팟 디바이스 JELLO,https://smartstore.naver.com/main/products/10543617867,https://shopping-phinf.pstatic.net/main_8808812/88088123350.1.jpg,53000,,전자담배팩토리,88088123350,2,JELLO,,생활/건강,건강관리용품,전자담배,,"53,000원",전자담배팩토리
19,유웰 발라리안 맥스 오리지널 입호흡 전자담배 기기 액상 전담 기계 액상형 CSV MAX,https://smartstore.naver.com/main/products/8010542173,https://shopping-phinf.pstatic.net/main_8555504/85555042496.9.jpg,65000,,용트림,85555042496,2,,,생활/건강,건강관리용품,전자담배,,"65,000원",용트림
20,아보카도 베이비프로 블루 액상형 전자담배 기기 입호흡 전담 기계,https://smartstore.naver.com/main/products/11396109378,https://shopping-phinf.pstatic.net/main_8894061/88940619743.jpg,69000,,더 클라우드 팩토리,88940619743,2,아보카도,,생활/건강,건강관리용품,전자담배,,"69,000원",더 클라우드 팩토리
21,말론 코일팟 0.6옴 1팩 (2개입) 스탠다드 팟 전자담배 전담 코일 공팟 MALONE,https://smartstore.naver.com/main/products/11359337657,https://shopping-phinf.pstatic.net/main_8890384/88903848008.2.jpg,10000,,Malone.,88903848008,2,마를론,,생활/건강,건강관리용품,전자담배,,"10,000원",Malone.
22,네스티 바 14000 실버 일회용 전담 대용량 편의점 NASTY BAR 무니코틴,https://smartstore.naver.com/main/products/11750366133,https://shopping-phinf.pstatic.net/main_8929487/89294876652.jpg,22900,,쥬스앤플레이버,89294876652,2,네스티,,생활/건강,건강관리용품,전자담배,,"22,900원",쥬스앤플레이버
23,유웰 발라리안 맥스 프로 0.6옴 밸런스 AIO 팟 1개 일체형 전용 코일 카트리지,https://smartstore.naver.com/main/products/11267075900,https://shopping-phinf.pstatic.net/main_8881158/88811586231.2.jpg,6000,,용트림,88811586231,2,유웰,,생활/건강,건강관리용품,전자담배,,"6,000원",용트림
24,아보카도 AIO프로 액상형 전자담배 폐호흡 기기 입호흡 전담 기계,https://smartstore.naver.com/main/products/11396255555,https://shopping-phinf.pstatic.net/main_8894076/88940765920.1.jpg,74000,,더 클라우드 팩토리,88940765920,2,아보카도,,생활/건강,건강관리용품,전자담배,,"74,000원",더 클라우드 팩토리
25,닷모드 닷투엑스 닷팟맥스 파티 블랙 입호흡 단일상품 CSV 액상형 전자담배 기기 킷 전담 기계 팟디바이스 드립팁 x,https://smartstore.naver.com/main/products/10332604231,https://shopping-phinf.pstatic.net/main_8787710/87877108441.5.jpg,75000,,투엑스 베이프,87877108441,2,닷모드,,생활/건강,건강관리용품,전자담배,,"75,000원",투엑스 베이프
26,부푸 브이메이트 I2 입호흡 전자담배 기기 액상 전담 기계 액상형 팟디바이스,https://smartstore.naver.com/main/products/10924460359,https://shopping-phinf.pstatic.net/main_8846896/88468966394.4.jpg,39000,,싸구전자담배,88468966394,2,부푸,,생활/건강,건강관리용품,전자담배,,"39,000원",싸구전자담배
27,[헬베이프] 젤로 1225 크리스마스 에디션 전자담배 전담 기기 팟 디바이스 JELLO,https://smartstore.naver.com/main/products/10950959125,https://shopping-phinf.pstatic.net/main_8849546/88495465160.jpg,57000,,전자담배팩토리,88495465160,2,JELLO,,생활/건강,건강관리용품,전자담배,,"57,000원",전자담배팩토리
28,하카 시그니처 듀오팩 액상 전자담배 기계,https://smartstore.naver.com/main/products/11482823226,https://shopping-phinf.pstatic.net/main_8902733/89027333591.jpg,65000,,하카코리아 공식온라인스토어,89027333591,2,하카,,생활/건강,건강관리용품,전자담배,,"65,000원",하카코리아 공식온라인스토어
29,아스파이어 고텍 나노 입호흡 액상형 전자담배 기계 전담 기기,https://smartstore.naver.com/main/products/11086923199,https://shopping-phinf.pstatic.net/main_8863143/88631433521.8.jpg,26500,,싸구전자담배,88631433521,2,아스파이어,,생활/건강,건강관리용품,전자담배,,"26,500원",싸구전자담배
30,베놈 팬텀 MK2 전자담배 기기 액상 입호흡 전담 기계 액상형 VANOM Phamtom 오리지널 발라리안 호환,https://smartstore.naver.com/main/products/10193428807,https://shopping-phinf.pstatic.net/main_8773793/87737932254.1.jpg,55000,,용트림,87737932254,2,베놈,베놈,생활/건강,건강관리용품,전자담배,,"55,000원",용트림
31,SMPO프로 2 신제품 액상형 CSV 2024년 최신형 에스엠피오 프로RELX 릴렉스 호환,https://smartstore.naver.com/main/products/10467330451,https://shopping-phinf.pstatic.net/main_8801183/88011835659.2.jpg,19000,,구구전자담배,88011835659,2,,,생활/건강,건강관리용품,전자담배,,"19,000원",구구전자담배
32,[호환] 차이코스 쿠키 궐련형 전자담배 기계 인덕션 전담 기기 편의점 아이코스 일루마 i 테리아,https://smartstore.naver.com/main/products/7504467424,https://shopping-phinf.pstatic.net/main_8504896/85048967746.15.jpg,39000,,야리스,85048967746,2,차이코스,,생활/건강,건강관리용품,전자담배,,"39,000원",야리스
33,베이포레소 럭스 XR MAX 맥스 전자담배 2 가지 입호흡 폐호흡 가능,https://smartstore.naver.com/main/products/8713758727,https://shopping-phinf.pstatic.net/main_8625825/86258259050.6.jpg,72000,,용가리전자담배,86258259050,2,,,생활/건강,건강관리용품,전자담배,,"72,000원",용가리전자담배
34,말론 코일팟 0.4옴 1팩 (2개입) 부스트 팟 전자담배 전담 코일 공팟 MALONE,https://smartstore.naver.com/main/products/11359336291,https://shopping-phinf.pstatic.net/main_8890384/88903846642.2.jpg,10000,,Malone.,88903846642,2,마를론,,생활/건강,건강관리용품,전자담배,,"10,000원",Malone.
35,헬베이프 젤로 버터 킷 전자담배 csv 액상형 입호흡 젤로버터 전담 기기 세트,https://smartstore.naver.com/main/products/11746378660,https://shopping-phinf.pstatic.net/main_8929088/89290889179.1.jpg,53000,,강남 큐브전자담배,89290889179,2,JELLO,,생활/건강,건강관리용품,전자담배,,"53,000원",강남 큐브전자담배
36,바이퍼 바운스 전자담배 기계 유웰 발라리안 맥스 프로 전담 기기 코일 호환,https://smartstore.naver.com/main/products/10393195361,https://shopping-phinf.pstatic.net/main_8793770/87937700254.3.jpg,43000,,하이엔드홈,87937700254,2,,VIPER,생활/건강,건강관리용품,전자담배,,"43,000원",하이엔드홈
37,헬베이프 젤로 킷 입호흡 CSV 액상형 전자담배 젤로전담 팟 디바이스,https://smartstore.naver.com/main/products/11751299792,https://shopping-phinf.pstatic.net/main_8929581/89295810311.5.jpg,53000,,베이프타임-,89295810311,2,JELLO,,생활/건강,건강관리용품,전자담배,,"53,000원",베이프타임-
38,유웰 발라리안 맥스 프로 0.8옴 AIO 팟 1개 일체형 전용 코일 카트리지 MAXPRO,https://smartstore.naver.com/main/products/11267078475,https://shopping-phinf.pstatic.net/main_8881158/88811588806.1.jpg,6000,,용트림,88811588806,2,유웰,,생활/건강,건강관리용품,전자담배,,"6,000원",용트림
39,저스트포그 액상 전자담배 입호흡 세이프 베이직세트 기계 기기,https://smartstore.naver.com/main/products/250732857,https://shopping-phinf.pstatic.net/main_7996991/7996991250.76.jpg,23000,,TR SHOP,7996991250,2,저스트포그,저스트포그,생활/건강,건강관리용품,전자담배,,"23,000원",TR SHOP
40,펠릭스바 일회용 전자담배 블루하와이 대용량 액상형 편의점 전담 무니코틴,https://smartstore.naver.com/main/products/11125793654,https://shopping-phinf.pstatic.net/main_8867030/88670303976.jpg,25800,,FELIX LAB,88670303976,2,Felix 펠릭스,펠릭스랩,생활/건강,건강관리용품,전자담배,,"25,800원",FELIX LAB
41,포켓 플러스 전자담배 POCKET PLUS 공팟(코일) 0.7옴 1팩(3개) / 입호흡액상 액상형 전자담배기기,https://smartstore.naver.com/main/products/9930888808,https://shopping-phinf.pstatic.net/main_8747539/87475391081.1.jpg,12000,,포켓 전자담배,87475391081,2,,,생활/건강,건강관리용품,전자담배,,"12,000원",포켓 전자담배
42,부푸 아르거스 XT 킷 다크블루 전자담배 액상형 전담 폐호흡기기 모드기기,https://smartstore.naver.com/main/products/9353551534,https://shopping-phinf.pstatic.net/main_8689805/86898051857.4.jpg,32900,,오지구 몰,86898051857,2,부푸,,생활/건강,건강관리용품,전자담배,,"32,900원",오지구 몰
43,긱베이프 소울2 입호흡 액상 CSV 전자담배 기기 전담 기계,https://smartstore.naver.com/main/products/11673282605,https://shopping-phinf.pstatic.net/main_8921779/89217793072.12.jpg,62000,,베이핑클럽16,89217793072,2,긱베이프,긱베이프,생활/건강,건강관리용품,전자담배,,"62,000원",베이핑클럽16
44,쥬스박스 일회용 전자담배 쥬스틱 울트라 아이스리치 BIG 대용량 편의점 전담 기기 무니코틴,https://smartstore.naver.com/main/products/11663269903,https://shopping-phinf.pstatic.net/main_8920778/89207780370.jpg,14900,,써마운트몰,89207780370,2,쥬스틱,,생활/건강,건강관리용품,전자담배,,"14,900원",써마운트몰
45,저스트포그 글렌트 입호흡 액상 전자담배 기계 전담 기기 액상형 팟디바이스,https://smartstore.naver.com/main/products/11240277942,https://shopping-phinf.pstatic.net/main_8878478/88784788273.2.jpg,49000,,싸구전자담배,88784788273,2,저스트포그,저스트포그,생활/건강,건강관리용품,전자담배,,"49,000원",싸구전자담배
46,마카롱 전자담배 Macacon 팟(코일) 1팩(3개) / 입호흡액상 액상형 전자담배기기,https://smartstore.naver.com/main/products/10007297563,https://shopping-phinf.pstatic.net/main_8755179/87551799916.jpg,12000,,마카롱 전자담배,87551799916,2,,,생활/건강,건강관리용품,전자담배,,"12,000원",마카롱 전자담배
47,베놈 팬텀 MK2 모터헤드 에디션 전자담배 기기 액상 입호흡 전담 기계 액상형 VANOM Phamtom 오리지널 발라리안 호환,https://smartstore.naver.com/main/products/11877746338,https://shopping-phinf.pstatic.net/main_8942225/89422256940.jpg,85000,,용트림,89422256940,2,베놈,베놈,생활/건강,건강관리용품,전자담배,,"85,000원",용트림
48,바이퍼V3 베이직 세트 액상형 전자담배 기계 전담 기기,https://smartstore.naver.com/main/products/371768327,https://shopping-phinf.pstatic.net/main_9551490/9551490925.54.jpg,23000,,매드시가,9551490925,2,,VIPER,생활/건강,건강관리용품,전자담배,,"23,000원",매드시가
49,아스파이어 고텍 s 입호흡 액상 전자담배 기계 전담 기기 CSV 팟디바이스,https://smartstore.naver.com/main/products/11391331470,https://shopping-phinf.pstatic.net/main_8893584/88935841835.1.jpg,15000,,싸구전자담배,88935841835,2,아스파이어,,생활/건강,건강관리용품,전자담배,,"15,000원",싸구전자담배
50,보졸 네온 일회용 전자담배 대용량 액상형 무니코틴 편의점 전담 VOZOL 쿨민트 니코틴x,https://smartstore.naver.com/main/products/10544442570,https://shopping-phinf.pstatic.net/main_8808894/88088948053.jpg,22900,,보졸 코리아 공식몰,88088948053,2,보졸,,생활/건강,건강관리용품,전자담배,,"22,900원",보졸 코리아 공식몰
